정류소ID,정류소번호,정류소명,X좌표,Y좌표
100000081,01177,청계5가.광장시장,126.9997973605,37.5694512793
100000102,01198,원남동,126.9973383362,37.5745325055
100000103,01199,창덕궁.서울돈화문국악당,126.9878777332,37.5771946373
100000104,01200,안국역.종로경찰서.인사동,126.9842425956,37.5757849018
100000105,01201,조계사,126.9832244185,37.5723660209
100000106,01202,조계사,126.9828258888,37.5724858087
100000107,01203,안국동,126.9827201116,37.5746105669
100000108,01204,종로5가.효제동,127.00223,37.5745
100000109,01205,종로5가.효제초등학교,127.0021442279,37.5728790133
100000116,01212,종로5가,127.0021826522,37.5705596025
100000117,01213,청계6가.동대문시장,127.0028494203,37.5698351103
100000118,01214,동대문,127.0084126252,37.5717262368
100000119,01215,충신동,127.006278812,37.5740223509
100000121,01217,충신동,127.0063433807,37.5744602778
100000122,01218,현대그룹빌딩,127.000533,37.575873
100000123,01219,통신대(이화장),127.002437,37.578043
100000124,01220,혜화역.마로니에공원,127.0022769364,37.5811194873
100000125,01221,혜화역.서울대병원입구,127.0019395272,37.5810636257
100000126,01222,통신대(이화장),127.0019937965,37.5781296741
100000127,01223,이화동(이화장),127.0006951494,37.576119355
100000128,01224,창경궁.서울대학교병원,126.9968717143,37.5788279947
100000129,01225,이화동(이화장),127.0032708172,37.5759372914
100000130,01226,혜화동로타리,127.0007246792,37.5857646257
100000131,01227,명륜동2가.성균관대입구,126.9993987623,37.5833334862
100000132,01228,혜화역.서울연극센터(장면총리가옥),127.0013281701,37.584022814
100000133,01229,혜화역.동성중고(장면총리가옥),127.0017176887,37.5845697705
100000135,01231,종로구민회관.창신동두산아파트,127.0155555279,37.5740926792
100000139,01235,동묘역앞,127.0156014431,37.5716849566
100000140,01236,동묘역앞,127.0158879092,37.5718984771
100000142,01238,창신3동주민센터,127.015178,37.578413
100000143,01239,숭인1동주민센터,127.0155485759,37.5787720457
100000144,01240,동묘역.롯데캐슬천지인,127.0158023517,37.5741800523
100000147,01243,신설동로타리,127.0227802373,37.5759288312
100000364,01245,동묘앞,127.0178163138,37.5737292199
100000150,01246,구기동현대빌라,126.956622,37.609682
100000151,01247,광장시장,126.9977437946,37.5694963125
100000153,01249,혜화경찰서,126.9974787875,37.5725807445
100000154,01250,서울역사박물관(경교장),126.9721318077,37.5699003386
100000155,01251,청계3가.관수교,126.9937793705,37.5686887917
100000156,01252,청계6가.버들다리,127.0080377075,37.5699303868
100000157,01253,청계7가.맑은내다리,127.0129554377,37.5699975315
100000158,01254,청계8가.영도교,127.0182311268,37.5709465856
100000159,01256,원남동사거리,126.9982146839,37.5757228744
100000165,01262,숭인동,127.0204373408,37.5742721533
100000169,01267,조계사,126.9831609226,37.572800338
100000174,01272,세종문화회관,126.9763658004,37.5733335205
100000179,01277,이화동(이화장),127.002955,37.576257
100000180,01278,상명대정문,126.9550207178,37.6016197182
100000181,01279,이북오도청,126.9558882973,37.6130503244
100000188,01286,상명대입구.세검정교회,126.9597921957,37.5994435122
100000189,01287,상명대입구.석파랑,126.9581941404,37.5995718125
100000190,01288,종로중부새마을금고,127.0065911394,37.5724174899
100000191,01289,신설동로터리.신한은행앞.서울풍물시장,127.0231182769,37.5743860974
100000192,01291,청계2가.삼일교,126.9872214307,37.5684458702
100000193,01292,청계8가.황학교,127.0227870051,37.5721307298
100000355,01293,평창동삼성아파트,126.978368,37.610967
100000370,01294,안국역.종로경찰서.인사동,126.9855365486,37.5763329308
100000369,01295,안국역.종로경찰서.인사동,126.9848289423,37.5763382485
100000371,01296,창덕궁,126.9890031166,37.5772280879
100900047,01500,평창파출소,126.9668167021,37.605681218
100900178,01501,삼청공원,126.9816468946,37.5882276807
100900041,01502,수성동계곡,126.964246771,37.5820791626
100900040,01503,명륜3가종점,126.9928636796,37.5909483783
100900197,01504,명륜새마을금고,126.996704891,37.5876532654
100900044,01505,서대문3번출구,126.9662183105,37.5664160731
100900039,01506,낙산공원,127.0087215681,37.5804037213
100900037,01507,세탁소,126.9893670844,37.5814109836
100900036,01508,평화동물병원,126.9648837454,37.6048011982
100900035,01509,금융연수원,126.9815691643,37.5865984991
100900034,01510,한아름슈퍼,126.966603478,37.5809967425
100900032,01511,샘미용실,126.9932227051,37.5903095275
100900031,01512,서울국제고등학교,126.9972902593,37.5890715947
